Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Newspaper;Class;{857BBE79-B34E-41dd-AAED-2DEF4A546191};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:18:56;12-юни-2021 20:24:43;;;;Class;CSV5260D234;
MOOC.fi;Class;{803724C7-BF86-41b8-BA5E-2DB3F6E417E4};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:36;11-юни-2021 19:27:05;;;;Class;CSV479BF308;
LinkedIn Learning;Class;{1F596946-8EE8-4874-9869-86BEC0B0BF9A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:48;11-юни-2021 19:27:05;;;;Class;CSV0360A223;
YouTube;Class;{88EFD800-67EA-4c3c-9F1B-6F8B36A6C022};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:54;11-юни-2021 19:24:06;;;;Class;CSV24A65A1B;
Facebook;Class;{28642AA6-9BD8-4edb-81DA-EE0E2451B270};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:52:02;11-юни-2021 22:09:58;;;;Class;CSVFEB97275;
Twitch;Class;{5E2ADF87-AEA9-403a-8625-E9A4EE48CAEF};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:54:00;11-юни-2021 19:24:07;;;;Class;CSV2FFC112F;
Linux Academy;Class;{BAC5239C-1058-43b0-B220-D98867271A4B};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:54:07;11-юни-2021 19:27:05;;;;Class;CSV0064D8A5;
A Cloud Guru;Class;{7DCE3232-884A-4318-AF58-4954828B8D6A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:54:15;11-юни-2021 19:27:05;;;;Class;CSV821A7CA7;
Duolingo;Class;{84B8946C-E911-4476-9AA9-725258043ADD};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:54:22;11-юни-2021 19:27:05;;;;Class;CSVD35450FB;
Social network;Class;{8F073D50-0E15-49b9-8236-AB9875478102};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:55:15;11-юни-2021 19:27:05;;;;Class;CSVB3F0F5F4;
Pluralsight;Class;{E1231981-7600-47a7-AB4B-81C8CD12A463};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:01:32;11-юни-2021 19:23:36;;;;Class;CSV3B31E971;
Amazon Web Services;Class;{DF1A51DF-A1E6-4bf0-BC0E-C67CACCAB6C9};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:01:38;15-юни-2021 19:16:29;;;;Class;CSV691C177B;
Publication;Class;{C7CCF23B-3378-4888-9250-00EAF3F15690};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:02:53;11-юни-2021 19:23:12;;;;Class;CSVB57DC6D7;
Pure Storage;Class;{04A80E61-BECB-492c-B8DF-ADBEF515FD65};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:04:00;11-юни-2021 19:23:36;;;;Class;CSVB12E3780;
Curriculum;Class;{C7A973E6-BA43-44c6-8F74-06468B1E65CB};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:35:32;11-юни-2021 19:24:07;;;;Class;CSV6D242AC1;
Field course;Class;{0569F92D-5CA8-4631-9538-228BC5A7C1EB};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:35:45;11-юни-2021 19:23:36;;;;Class;CSV55293019;
Hands-on lab;Class;{67CAA4DC-C3A4-4952-A89F-DD846A90DE4D};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:36:10;15-юни-2021 16:31:42;;;;Class;CSV92BDDDA5;
